Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,141.097,-118.3,-90,bottom
C2,0.1uF,C_0402_1005Metric,143.5,-113.531,0,bottom
C3,0.1uF,C_0402_1005Metric,147.984,-106.172,90,bottom
C4,10uF,C_0805_2012Metric,147.5,-108.9,-90,bottom
C5,10uF,C_0805_2012Metric,153.025,-104.35,-90,bottom
C6,10uF,C_0805_2012Metric,150.25,-105.05,180,bottom
C7,0.1uF,C_0603_1608Metric,146,-104,-90,bottom
C8,1uF,C_0603_1608Metric,144.5,-104,-90,bottom
D1,B0530WSHE3-TP,D_SOD-323,156,-108,-90,bottom
IC2,AP2112K-3.3TRG1,SOT95P285X140-5N,150.722,-107.917,180,bottom
IC3,ICS-43434,ICS43434,143.191,-107.834,180,bottom
J1,RAHUC31AUTR,RAHUC31AUTR,145.133,-127.595,90,bottom
Q1,BSS138,SOT95P240X120-3N,155.645,-138.049,0,bottom
Q2,BSS138,SOT95P240X120-3N,155.645,-112.268,0,bottom
Q3,BSS138,SOT95P240X120-3N,155.645,-119.634,0,bottom
Q4,BSS138,SOT95P240X120-3N,155.645,-115.951,0,bottom
Q5,BSS138,SOT95P240X120-3N,155.645,-123.317,0,bottom
Q6,BSS138,SOT95P240X120-3N,155.645,-127,0,bottom
Q7,BSS138,SOT95P240X120-3N,155.645,-134.366,0,bottom
Q8,BSS138,SOT95P240X120-3N,155.645,-130.683,0,bottom
Q9,DMG3415U-7,SOT96P240X110-3N,156.96,-104.45,90,bottom
R1,5.1k,R_0603_1608Metric,141.062,-115.125,-90,bottom
R2,100k,R_0603_1608Metric,154,-107.917,-90,bottom
R3,4.7k,R_0603_1608Metric,150.495,-138.811,0,bottom
R4,10k,R_0603_1608Metric,152.781,-138.049,90,bottom
R5,2.2k,R_0603_1608Metric,158.496,-138.811,90,bottom
R6,3.8k,R_0603_1608Metric,152.908,-140.716,180,bottom
R7,6.2k,R_0603_1608Metric,149.86,-140.716,0,bottom
R8,4.7k,R_0603_1608Metric,150.495,-137.287,0,bottom
R9,4.7k,R_0603_1608Metric,147.447,-137.287,180,bottom
R10,10k,R_0603_1608Metric,152.794,-112.334,90,bottom
R11,10k,R_0603_1608Metric,158.496,-113.03,90,bottom
R12,19k,R_0603_1608Metric,159.639,-141.224,180,bottom
R13,31k,R_0603_1608Metric,155.956,-140.716,0,bottom
R14,10k,R_0603_1608Metric,152.794,-119.7,90,bottom
R15,10k,R_0603_1608Metric,158.496,-120.396,90,bottom
R16,10k,R_0603_1608Metric,152.825,-116.025,90,bottom
R17,10k,R_0603_1608Metric,158.496,-116.713,90,bottom
R18,10k,R_0603_1608Metric,152.794,-123.256,90,bottom
R19,10k,R_0603_1608Metric,158.496,-124.079,90,bottom
R20,10k,R_0603_1608Metric,152.794,-127.066,90,bottom
R21,10k,R_0603_1608Metric,158.496,-127.762,90,bottom
R22,4.7k,R_0603_1608Metric,146.812,-140.716,0,bottom
R23,4.7k,R_0603_1608Metric,146.812,-139.065,0,bottom
R24,4.7k,R_0603_1608Metric,151.003,-118.491,-90,bottom
R25,3.8k,R_0603_1608Metric,151.003,-132.715,90,bottom
R26,6.2k,R_0603_1608Metric,149.352,-118.491,-90,bottom
R27,10k,R_0603_1608Metric,152.794,-134.366,90,bottom
R28,10k,R_0603_1608Metric,158.496,-135.128,90,bottom
R29,5.1k,R_0603_1608Metric,147.574,-135.3,180,bottom
R30,5.1k,R_0603_1608Metric,144.145,-135.3,180,bottom
R31,10k,R_0603_1608Metric,152.794,-130.683,90,bottom
R32,10k,R_0603_1608Metric,158.496,-131.445,90,bottom
R33,100k,R_0603_1608Metric,158.496,-109.03,90,bottom
S1,KMR211G_LFS,KMR_2,143.5,-116.731,-90,bottom
S2,KMR211G_LFS,KMR_2,146.901,-116.731,-90,bottom
